,IC50_nM
1972,20.0
1975,30.0
1976,3000.0
1977,25.0
1978,3.3
1979,2600.0
1980,14.0
1983,10.0
1984,5000.0
1985,460.0
1988,36.0
1989,3800.0
1990,14.0
1991,31.0
1992,500.0
1993,20.0
1994,10.0
1995,100000.0
1996,180.0
1997,25.12
1998,128.0
1999,50.12
2000,264.9
2001,91100.0
2002,62600.0
2003,1750.0
2004,41.0
2005,32.0
2007,569.3
2008,464.9
2012,386.0
2013,5.1
2014,251.0
2015,2960.0
2016,1830.0
2017,1692.5
2018,384.7
2019,4170.0
2020,193.0
2021,3200.0
2022,2000.0
2023,39.81
2024,70.0
2025,14.0
2026,1674.5
2027,6149.0
2028,53500.0
2030,12.59
2032,6.0
2035,14.0
2036,25.0
2037,205.0
2038,36.0
2039,8720.0
2040,7.2
2042,199.0
2044,73900.0
2045,210.0
2046,399.9
2047,8760.0
2048,37.0
2049,7660.0
2050,5.0
2053,290.0
2054,14.0
2055,4.0
2059,925.1
2060,130.0
2061,100000.0
2062,20.0
2063,7760.0
2064,5575.0
2066,930.0
2067,313.0
2068,1490.0
2069,124.0
2070,8050.0
2071,107.0
2072,4160.0
2073,1000.0
2075,39.81
2076,1589.5
2078,8410.0
2079,20.0
2082,6620.0
2083,280.0
2085,11.0
2086,14.0
2088,100000.0
2089,50.12
2090,12.0
2091,39.81
2092,153.7
2093,1490.0
2094,213.0
2095,1090.0
2096,63.1
2097,2442.5
2098,79.0
2099,1900.0
2103,19.0
2104,460.0
2106,8000.0
2107,230.0
2108,844.0
2109,207.9
2110,39.81
2111,45.0
2112,873.4
2114,51.0
2116,25.0
2117,366.7
2118,333.2
2120,100000.0
2121,1512.5
2122,166.0
2123,100000.0
2124,44.0
2125,37.0
2127,30.0
2128,10000.0
2130,1574.5
2131,31.62
2132,1520.0
2133,717.9
2134,2220.0
2135,586.0
2136,50.0
2137,830.0
2139,1200.0
2141,2010.0
2142,290.0
2144,240.0
2145,4897.5
2148,14.0
2149,506.0
2150,8.0
2151,288.4
2152,60.0
2153,1500.0
2154,10000.0
2156,25.12
2157,8242.0
2158,350.0
2160,1980.0
2161,9600.0
2162,10000.0
2163,21.0
2164,1080.0
2167,12.0
2169,59.0
2170,122.0
2171,958.0
2172,15.0
2173,17.0
2174,93.0
2175,960.0
2177,590.0
2178,327.0
2179,10.0
2180,4240.0
2182,44.0
2184,50.0
2185,31.62
2186,270.3
2187,3080.0
2189,33.0
2190,50.12
2192,6000.0
2193,41.0
2194,100000.0
2195,3000.0
2196,116.0
2198,445.0
2199,287.2
2200,38.0
2201,16.0
2203,7550.0
2206,105.0
2207,10000.0
2208,79.43
2209,21.0
2210,25.0
2213,30900.0
2215,22.0
2216,193.6
2217,75.0
2219,27.0
2220,357.7
2221,10000.0
2222,16.0
2224,48.0
2225,254.0
2226,523.0
2228,67.0
2229,21.0
2230,136.0
2231,46.0
2234,15.0
2235,8.7
2236,28.0
2238,5.1
2239,76.0
2241,8.2
2242,2014.0
2243,9.0
2244,24.0
2245,37.0
2246,71.0
2247,112.0
2248,10.0
2249,22.0
2250,204.0
